,ensembl_gene_id,prev_symbol,symbol
0,ENSG00000121410,,A1BG
1,ENSG00000148584,,A1CF
2,ENSG00000175899,,A2M
3,ENSG00000166535,CPAMD9,A2ML1
4,ENSG00000184389,A3GALT2P,A3GALT2
5,ENSG00000128274,P1,A4GALT
6,ENSG00000118017,,A4GNT
7,ENSG00000094914,,AAAS
8,ENSG00000081760,,AACS
9,ENSG00000114771,,AADAC
10,ENSG00000197953,,AADACL2
11,ENSG00000188984,,AADACL3
12,ENSG00000204518,,AADACL4
13,ENSG00000109576,,AADAT
14,ENSG00000103591,,AAGAB
15,ENSG00000115977,,AAK1
16,ENSG00000087884,C11orf67,AAMDC
17,ENSG00000127837,,AAMP
18,ENSG00000129673,,AANAT
19,ENSG00000131043,C20orf4,AAR2
20,ENSG00000205002,C8orf85,AARD
21,ENSG00000090861,AARS,AARS1
22,ENSG00000124608,AARSL,AARS2
23,ENSG00000266967,,AARSD1
24,ENSG00000157426,,AASDH
25,ENSG00000149313,,AASDHPPT
26,ENSG00000008311,,AASS
27,ENSG00000275700,,AATF
28,ENSG00000181409,,AATK
29,ENSG00000183044,,ABAT
30,ENSG00000165029,ABC1|HDLDT1,ABCA1
31,ENSG00000107331,ABC2,ABCA2
32,ENSG00000167972,ABC3,ABCA3
33,ENSG00000198691,STGD1|ABCR|RP19|STGD,ABCA4
34,ENSG00000154265,,ABCA5
35,ENSG00000154262,,ABCA6
36,ENSG00000064687,,ABCA7
37,ENSG00000141338,,ABCA8
38,ENSG00000154258,,ABCA9
39,ENSG00000154263,,ABCA10
40,ENSG00000144452,ICR2B,ABCA12
41,ENSG00000179869,,ABCA13
42,ENSG00000085563,PGY1|MDR1|CLCS,ABCB1
43,ENSG00000005471,PGY3|MDR3,ABCB4
44,ENSG00000004846,,ABCB5
45,ENSG00000115657,,ABCB6
46,ENSG00000131269,ABC7,ABCB7
47,ENSG00000197150,,ABCB8
48,ENSG00000150967,,ABCB9
49,ENSG00000135776,,ABCB10
50,ENSG00000073734,BSEP|PFIC2,ABCB11
51,ENSG00000103222,MRP|MRP1,ABCC1
52,ENSG00000023839,CMOAT,ABCC2
53,ENSG00000108846,,ABCC3
54,ENSG00000125257,,ABCC4
55,ENSG00000114770,,ABCC5
56,ENSG00000091262,ARA|PXE,ABCC6
57,ENSG00000006071,SUR|HRINS,ABCC8
58,ENSG00000069431,,ABCC9
59,ENSG00000124574,,ABCC10
60,ENSG00000121270,,ABCC11
61,ENSG00000140798,,ABCC12
62,ENSG00000101986,ALD,ABCD1
63,ENSG00000173208,ALDL1,ABCD2
64,ENSG00000117528,PXMP1,ABCD3
65,ENSG00000119688,PXMP1L,ABCD4
66,ENSG00000164163,RNASEL1|RNASELI|RNS4I,ABCE1
67,ENSG00000204574,ABC50,ABCF1
68,ENSG00000033050,,ABCF2
69,ENSG00000161204,,ABCF3
70,ENSG00000160179,,ABCG1
71,ENSG00000118777,,ABCG2
72,ENSG00000172350,,ABCG4
73,ENSG00000138075,,ABCG5
74,ENSG00000143921,,ABCG8
75,ENSG00000143994,,ABHD1
76,ENSG00000140526,,ABHD2
77,ENSG00000158201,,ABHD3
78,ENSG00000100439,,ABHD4
79,ENSG00000011198,,ABHD5
80,ENSG00000163686,,ABHD6
81,ENSG00000127220,,ABHD8
82,ENSG00000144827,,ABHD10
83,ENSG00000106077,WBSCR21,ABHD11
84,ENSG00000100997,C20orf22,ABHD12
85,ENSG00000131969,C14orf29,ABHD12B
86,ENSG00000139826,C13orf6,ABHD13
87,ENSG00000248487,,ABHD14A
88,ENSG00000114779,,ABHD14B
89,ENSG00000168792,,ABHD15
90,ENSG00000204427,BAT5,ABHD16A
91,ENSG00000183260,C20orf135,ABHD16B
92,ENSG00000129968,C19orf27|FAM108A1,ABHD17A
93,ENSG00000107362,C9orf77|FAM108B1,ABHD17B
94,ENSG00000136379,FAM108C1,ABHD17C
95,ENSG00000164074,C4orf29,ABHD18
96,ENSG00000136754,SSH3BP1,ABI1
97,ENSG00000138443,,ABI2
98,ENSG00000108798,,ABI3
99,ENSG00000154175,,ABI3BP
100,ENSG00000119328,C9orf6|FAM206A,ABITRAM
101,ENSG00000097007,ABL,ABL1
102,ENSG00000143322,ABLL,ABL2
103,ENSG00000099204,LIMAB1|ABLIM,ABLIM1
104,ENSG00000163995,,ABLIM2
105,ENSG00000173210,,ABLIM3
106,ENSG00000175164,,ABO
107,ENSG00000159842,,ABR
108,ENSG00000174429,,ABRA
109,ENSG00000146386,C6orf115,ABRACL
110,ENSG00000163322,CCDC98|FAM175A,ABRAXAS1
111,ENSG00000165660,KIAA0157|FAM175B,ABRAXAS2
112,ENSG00000146109,,ABT1
113,ENSG00000114626,,ABTB1
114,ENSG00000166016,,ABTB2
115,ENSG00000060971,,ACAA1
116,ENSG00000167315,,ACAA2
117,ENSG00000278540,ACAC|ACC,ACACA
118,ENSG00000076555,,ACACB
119,ENSG00000151498,,ACAD8
120,ENSG00000177646,,ACAD9
121,ENSG00000111271,,ACAD10
122,ENSG00000240303,,ACAD11
123,ENSG00000115361,,ACADL
124,ENSG00000117054,,ACADM
125,ENSG00000122971,,ACADS
126,ENSG00000196177,,ACADSB
127,ENSG00000072778,,ACADVL
128,ENSG00000157766,MSK16|CSPG1|AGC1,ACAN
129,ENSG00000072818,CENTB1,ACAP1
130,ENSG00000114331,CENTB2,ACAP2
131,ENSG00000131584,CENTB5,ACAP3
132,ENSG00000075239,ACAT,ACAT1
133,ENSG00000120437,,ACAT2
134,ENSG00000182827,GOLPH1|GOCAP1,ACBD3
135,ENSG00000181513,,ACBD4
