gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000460,0.2,0.2,0.2,0,0,0,0,0.048130968,-0.202937923,0,1.637151371,0.5,-0.225774203
ENSG00000000971,0,0,1,0,0,0,0,0.677368834,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000001460,0,0,0.5,0,0,0,0,0.085268681,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000001617,0,0,1,0,0,0,0,0.518376066,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000001626,0,0,1,0,0,0,0,0.188759469,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000001630,0.5,0,0.5,0,0,0,0,0.004097683,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000001631,0,0,0.5,0,0,0,0,0.782900548,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000002016,0,0,0.333333333,0,0,0,0,0.76973482,2.149554085,0,0.587889345,1,-0.225774203
ENSG00000002549,0,0,1,0,0,0,0,0.276321483,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000002726,0,0,1,0,0,0,0,0.180940612,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000002745,0,0,0,1,0,0,0,0.052158027,2.149554085,1,0.587889345,0,1.586721822
ENSG00000002746,0.333333333,0.333333333,0.333333333,0,0,0,0,0.011071751,-0.202937923,0,1.637151371,0.5,-0.225774203
ENSG00000002834,1,0,0,0,0,0,0,1.055206662,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000003056,0,0,1,0,0,0,0,0.150265124,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000003137,0,0,1,0,0,0,0,2.189907683,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000003147,0,0,0,0,0,0,0,0.600905856,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000003393,0,0,1,0,0,0,0,0.228332112,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000003402,0,0,0.5,0,0,0,0,0.549523575,-0.202937923,0,0.587889345,1,3.399217848
ENSG00000004139,0,0,1,0,0,0,0,0.082168294,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000004399,0.333333333,0,0.666666667,0,0,0,0,0.628322027,-0.202937923,0,1.637151371,0.666666667,-0.225774203
ENSG00000004455,0,0,0,0,0,0,0,0.176798294,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000004468,0.5,0,0.5,0,0,0,0,1.453412875,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000004478,0,0,0.666666667,0,0,0,0,0.103517525,2.149554085,0,1.637151371,1,-0.225774203
ENSG00000004487,0,0,1,0,0,0,0,0.336411641,-0.202937923,0,0.587889345,1,3.399217848
ENSG00000004700,0,0,0,1,0,0,0,0.094022921,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000004766,0.5,0,0.5,0,0,0,0,0.273266848,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000004777,0.5,0,0.5,0,0,0,0,0.821078574,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000004779,1,0,0,0,0,0,0,0.224597016,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000004809,0,0,1,0,0,0,0,0.022788917,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000004846,0,0,1,0,0,0,0,0.084505789,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000004864,0,0,0.666666667,0,0,0,0,1.051370993,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000004866,0.5,0,0.5,0,0,0,0,0.438735064,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000005007,1,0,0,0,0,0,0,0.205482722,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000005059,0,0,1,0,0,0,0,0.136040445,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005100,0,0,1,0,0,0,0,0.958384961,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000005108,0,0,1,0,0,0,0,0.063678678,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005339,0,0.5,0.5,0,0,0,0,0.78050975,6.854538101,0,1.637151371,1,10.64920195
ENSG00000005379,0,0,1,0,0,0,0,1.345407625,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000005381,0,0,1,0,0,0,0,0.041163186,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005421,0,0,1,0,0,0,0,0.235098092,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005436,0,0,1,0,0,0,0,0.001065323,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000005448,0,0,0,0,0,0,0,0.914346344,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000005483,0,0,0.5,0.5,0,0,0,0.523251921,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000005486,0,0,1,0,0,0,0,0.058042281,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000005513,0,0,0.5,0,0,0,0,3.593444088,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000005801,0,0,1,0,0,0,0,0.397849998,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005810,0.5,0,0.5,0,0,0,0,0.206390506,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000005812,0,0,1,0,0,0,0,0.659177962,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000005844,0.5,0,0.5,0,0,0,0,0.155047281,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000005884,0,0,1,0,0,0,0,0.177561912,6.854538101,0,2.686413397,1,5.211713873
ENSG00000005961,0,1,0,0,0,0,0,0.032762334,6.854538101,0,0.587889345,0,-0.225774203
ENSG00000006016,0,0,1,0,0,0,0,3.666079035,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006047,0,0,0,1,0,0,0,2.325104014,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000006071,0.25,0,0.75,0,0,0,0,0.772765096,-0.202937923,0,2.686413397,0.75,-0.225774203
ENSG00000006118,0,0,1,0,0,0,0,0.76827196,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006125,0,0,1,0,0,0,0,0.819898877,-0.202937923,0,0.587889345,1,5.211713873
ENSG00000006194,0,0,1,0,0,0,0,0.540692608,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006210,0,0,1,0,0,0,0,1.223211614,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006282,0,0,0,0,0,0,0,0.52001922,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000006283,0.5,0,0.5,0,0,0,0,0.108437559,2.149554085,0,0.587889345,0.5,-0.225774203
ENSG00000006432,0,0,1,0,0,0,0,0.40524715,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006453,0,0,1,0,0,0,0,1.666337629,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006530,1,0,0,0,0,0,0,0.220575447,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000006576,0,0,0.5,0,0,0,0,0.058419195,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006607,0.25,0,0.5,0,0,0,0,0.316298769,-0.202937923,0,1.637151371,0.666666667,-0.225774203
ENSG00000006638,0.5,0,0,0.5,0,0,0,0.754448226,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000006652,0,0,0,0,0,0,0,2.064770042,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000006712,0,0,1,0,0,0,0,0.211190065,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000006744,0,0,0,0,0,0,0,0.328701046,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000006756,0,0,1,0,0,0,0,1.879472216,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000006788,1,0,0,0,0,0,0,0.1156007,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000006837,0,0,1,0,0,0,0,0.128463775,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000007047,0,0,1,0,0,0,0,0.599692553,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000007129,0,0,1,0,0,0,0,0.747580208,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000007171,0.333333333,0,0.666666667,0,0,0,0,0.853735132,-0.202937923,0,3.735675423,0.666666667,-0.225774203
ENSG00000007174,0.2,0,0.8,0,0,0,0,0.061137449,-0.202937923,0,3.735675423,0.8,-0.225774203
ENSG00000007255,1,0,0,0,0,0,0,0.34096028,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000007264,1,0,0,0,0,0,0,1.181456179,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000007306,1,0,0,0,0,0,0,0.35558177,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000007314,0.5,0,0.5,0,0,0,0,0.185155203,-0.202937923,0,1.637151371,0.5,-0.225774203
ENSG00000007341,0,0,0,0,0,0,0,0.438006792,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000007372,0,0,0,1,0,0,0,0.54724488,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000007402,1,0,0,0,0,0,0,0.320612682,2.149554085,0,-0.461372682,0,-0.225774203
ENSG00000007516,0.666666667,0,0.333333333,0,0,0,0,0.28310224,-0.202937923,0,0.587889345,0.333333333,1.586721822
ENSG00000007520,0,0,1,0,0,0,0,0.567155349,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000007908,0.5,0,0.5,0,0,0,0,0.288886132,-0.202937923,0,0.587889345,0.5,1.586721822
ENSG00000007933,0.5,0,0.5,0,0,0,0,0.265406631,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000007944,0,0,1,0,0,0,0,1.240239186,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008118,0,0,1,0,0,0,0,0.464691321,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008130,0,0,1,0,0,0,0,0.191486387,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008196,0,0,0.333333333,0.333333333,0,0,0,2.094559703,-0.202937923,0,1.637151371,1,-0.225774203
ENSG00000008226,1,0,0,0,0,0,0,0.675259703,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000008277,0,0,1,0,0,0,0,0.305343767,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008294,0,0,1,0,0,0,0,0.154237876,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008300,0.6,0,0.4,0,0,0,0,0.537619778,-0.202937923,0,1.637151371,0.4,-0.225774203
ENSG00000008323,0.5,0,0.5,0,0,0,0,0.805332259,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000008382,0,0,0,0,0,0,0,0.314619922,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000008405,0,0,1,0,0,0,0,0.47207783,-0.202937923,0,0.587889345,1,1.586721822
ENSG00000008441,0,0,0.333333333,0,0,0,0,0.96722087,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008513,0,0,1,0,0,0,0,0.873823695,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000008710,0.4,0,0.6,0,0,0,0,0.621225439,-0.202937923,0,2.686413397,0.6,3.399217848
ENSG00000008735,1,0,0,0,0,0,0,1.328241464,2.149554085,0,-0.461372682,0,-0.225774203
ENSG00000008838,0,0,0,0,0,0,0,0.358657791,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000008869,0.5,0,0.5,0,0,0,0,0.032800731,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000008988,0,0,0.5,0,0,0,0,0.103717928,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000009307,0,0,0,0,0,1,0,0.576856833,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000009335,0.666666667,0,0,0,0,0,0,0.011675048,-0.202937923,0,0.587889345,0,-0.225774203
ENSG00000009413,0.5,0,0.5,0,0,0,0,0.307290201,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000009694,0.5,0,0.5,0,0,0,0,0.117333484,-0.202937923,0,0.587889345,0.5,-0.225774203
ENSG00000009709,0,0,1,0,0,0,0,0.352049674,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000009724,1,0,0,0,0,0,0,0.248901914,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000009765,0,0,1,0,0,0,0,0.465232075,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000009790,0,0,1,0,0,0,0,0.424415717,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000009844,1,0,0,0,0,0,0,0.619941209,-0.202937923,0,-0.461372682,0,-0.225774203
ENSG00000010030,0,0,1,0,0,0,0,0.15076217,-0.202937923,0,0.587889345,1,-0.225774203
ENSG00000010165,0.25,0,0.75,0,0,0,0,0.213368709,-0.202937923,0,1.637151371,0.75,-0.225774203
