gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000457,0,0,0,0,0,0,0,0.047826651,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000000971,0.25,0,0.75,0,0,0,0,0.538768991,-0.190665698,0,1.282462271,0.75,1.350963156
ENSG00000001461,1,0,0,0,0,0,0,0.157809829,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000001561,0,0,1,0,0,0,0,0.160341595,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000001617,0,0,1,0,0,0,0,0.196648887,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000001629,0,0,1,0,0,0,0,0.048235814,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000001631,0.333333333,0.333333333,0.333333333,0,0,0,0,0.011642395,-0.190665698,0,1.282462271,0.5,-0.263226095
ENSG00000002330,0,0,0.5,0,0.5,0,0,0.170361328,10.61703975,1,0.387393314,1,1.350963156
ENSG00000002549,0,0,1,0,0,0,0,0.499756562,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000002587,1,0,0,0,0,0,0,0.788722977,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000002726,0.5,0,0.5,0,0,0,0,1.984034827,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000002746,0.333333333,0.166666667,0.5,0,0,0,0,0.089259501,-0.190665698,0,2.177531227,0.6,-0.263226095
ENSG00000002822,0,0,1,0,0,0,0,0.023913382,2.511260665,0,0.387393314,1,1.350963156
ENSG00000002933,1,0,0,0,0,0,0,0.227954033,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000003096,0,0,0,0,0,0,0,0.137953047,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000003137,1,0,0,0,0,0,0,0.022495687,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000003147,0.5,0,0.5,0,0,0,0,0.79983279,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000003393,0,0,1,0,0,0,0,0.011080774,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000003400,0,0,0.5,0,0,0,0,0.17504063,2.511260665,0,0.387393314,1,1.350963156
ENSG00000003402,0.333333333,0,0.666666667,0,0,0,0,0.321589301,2.511260665,0,0.387393314,0.666666667,1.350963156
ENSG00000003436,0,0,1,0,0,0,0,0.471094057,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000003509,0,0,1,0,0,0,0,0.123931584,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000003756,0,0,0,0,0,0,0,0.530363873,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000003989,0,0,0.333333333,0,0,0,0,0.143741519,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004059,1,0,0,0,0,0,0,0.053844175,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000004399,0,0,1,0,0,0,0,0.43772436,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004455,0,0,1,0,0,0,0,0.022581213,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004468,0.5,0,0.5,0,0,0,0,0.656996139,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000004478,1,0,0,0,0,0,0,0.78298857,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000004487,0,0,1,0,0,0,0,0.046077333,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000004534,0,0,1,0,0,0,0,0.591711497,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004660,0,0,0,0,0,0,0,0.197987614,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000004700,0.333333333,0,0.666666667,0,0,0,0,0.415296497,-0.190665698,0,1.282462271,0.666666667,-0.263226095
ENSG00000004766,0.333333333,0,0.333333333,0,0.333333333,0,0,0.043859529,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000004777,0,0,1,0,0,0,0,0.10101324,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004809,1,0,0,0,0,0,0,0.023246956,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000004838,0,0,1,0,0,0,0,0.005033513,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004846,0.2,0,0.8,0,0,0,0,0.053762142,-0.190665698,0,2.177531227,0.8,-0.263226095
ENSG00000004864,0.5,0,0.5,0,0,0,0,0.121024474,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000004939,0.666666667,0,0,0.333333333,0,0,0,0.141372129,-0.190665698,0,0.387393314,0,1.350963156
ENSG00000004948,0,0,1,0,0,0,0,0.004910734,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000004961,0,0,0,0,0,0,0,0.228739663,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000004975,0,0,0.666666667,0,0,0,0,0.206801594,-0.190665698,0,0.387393314,1,4.579341658
ENSG00000005007,0,0,0,0,0,0,0,0.020307859,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005020,1,0,0,0,0,0,0,0.021259313,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005073,1,0,0,0,0,0,0,0.48782927,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005075,0,0,1,0,0,0,0,0.209949704,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000005100,0,0,1,0,0,0,0,0.076481608,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000005102,0,0,0.5,0,0,0,0,0.77306707,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005108,0.25,0,0.75,0,0,0,0,0.060483262,-0.190665698,0,0.387393314,0.75,-0.263226095
ENSG00000005175,0.5,0,0.5,0,0,0,0,0.098356703,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000005187,0,0,1,0,0,0,0,1.063193966,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000005194,0,0,1,0,0,0,0,0.028951401,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005206,1,0,0,0,0,0,0,0.133032686,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005243,0,0,1,0,0,0,0,0.086295341,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005249,0,0,1,0,0,0,0,1.17375746,-0.190665698,0,0.387393314,1,2.965152407
ENSG00000005302,0,0,0,0,0,0,0,0.666282108,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005339,0.333333333,0,0.666666667,0,0,0,0,0.241523144,7.915113391,0,1.282462271,0.666666667,9.421909412
ENSG00000005379,0.333333333,0,0.666666667,0,0,0,0,0.691561793,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000005381,0,0,1,0,0,0,0,0.197714909,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000005421,0,0,1,0,0,0,0,0.26459791,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005436,0,0,0,1,0,0,0,0.104831476,-0.190665698,0,0.387393314,0,1.350963156
ENSG00000005469,0,0.5,0.5,0,0,0,0,0.142975766,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005471,1,0,0,0,0,0,0,0.419148341,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005483,0,0,0.666666667,0.333333333,0,0,0,0.237568278,-0.190665698,0,2.177531227,1,1.350963156
ENSG00000005486,1,0,0,0,0,0,0,0.388893581,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005513,0,0,1,0,0,0,0,0.04248719,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005801,0.25,0,0.5,0,0,0,0,0.135993909,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000005810,0.285714286,0.142857143,0.571428571,0,0,0,0,0.499116508,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000005812,0,0,1,0,0,0,0,0.260119597,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005844,0,0,1,0,0,0,0,1.821979701,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005882,0,0,1,0,0,0,0,0.086545754,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005889,0,0,1,0,0,0,0,0.320886996,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000005893,1,0,0,0,0,0,0,0.200708388,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000005981,0.5,0,0,0,0,0,0.5,0.187708067,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006007,0,0,0,0,0,0,0,0.166561929,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006016,0.5,0,0.5,0,0,0,0,0.436176211,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000006025,1,0,0,0,0,0,0,0.544153471,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006042,0,0,1,0,0,0,0,0.141825023,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006047,0,0,0.5,0,0.5,0,0,0.159733799,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006059,0,0,1,0,0,0,0,0.001051902,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006062,1,0,0,0,0,0,0,0.713804067,5.213187028,0,-0.507675643,0,-0.263226095
ENSG00000006071,0.666666667,0,0,0,0,0,0,0.903855948,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006116,0,0,1,0,0,0,0,0.069242268,2.511260665,0,1.282462271,1,-0.263226095
ENSG00000006118,0,0,1,0,0,0,0,0.169512628,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006194,0,0,0.5,0,0,0,0,0.020066625,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006210,0,0,1,0,0,0,0,0.192680442,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006282,0,0,0,0,0,0,0,0.124228894,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006283,0.333333333,0,0.666666667,0,0,0,0,0.035198094,2.511260665,0,1.282462271,0.666666667,-0.263226095
ENSG00000006327,0,0,1,0,0,0,0,0.955413368,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006377,1,0,0,0,0,0,0,0.06730138,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006432,0.25,0,0.5,0,0,0,0,0.151007459,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000006459,1,0,0,0,0,0,0,0.05426088,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000006534,0,0,1,0,0,0,0,0.931435039,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006576,0,0,0.5,0,0,0,0,0.555860895,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006606,0,1,0,0,0,0,0,0.00214319,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000006607,0,0,1,0,0,0,0,0.102956184,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000006611,0.25,0.25,0,0.25,0,0,0,1.762771534,-0.190665698,0,1.282462271,0,4.579341658
ENSG00000006638,0,0,1,0,0,0,0,0.493975244,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006652,0,0,0.75,0,0.25,0,0,0.08230502,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006704,0,0,1,0,0,0,0,0.740420999,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006712,0.5,0,0.5,0,0,0,0,0.140498858,-0.190665698,0,0.387393314,0.5,1.350963156
ENSG00000006740,0,0,1,0,0,0,0,0.060773064,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006744,0,0,0.75,0,0,0,0,0.282530183,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006756,0,0,0.5,0,0,0,0,0.411673935,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000006788,0.5,0,0.5,0,0,0,0,0.024527472,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000007001,0,0,1,0,0,0,0,0.004433936,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000007038,0,0,0,0,0,0,0,1.058084262,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007047,0.5,0,0.5,0,0,0,0,0.110157676,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000007129,0,0,1,0,0,0,0,1.130306921,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000007168,0,0,1,0,0,0,0,0.324032582,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000007171,0.333333333,0,0.666666667,0,0,0,0,0.044511826,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000007174,0.266666667,0.133333333,0.6,0,0,0,0,0.064863877,-0.190665698,0,3.072600184,0.692307692,-0.263226095
ENSG00000007202,0,0.166666667,0.833333333,0,0,0,0,0.216225544,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000007237,0,0,0.571428571,0.142857143,0,0,0,0.557806629,-0.190665698,0,2.177531227,1,1.350963156
ENSG00000007255,1,0,0,0,0,0,0,0.143534327,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007264,1,0,0,0,0,0,0,1.232222297,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007306,0,0,1,0,0,0,0,0.577672494,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000007312,0.5,0,0,0,0,0,0,1.304197762,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007314,0.142857143,0,0.571428571,0,0.142857143,0,0,0.311742632,-0.190665698,0,2.177531227,0.8,-0.263226095
ENSG00000007350,0,0,0,0,0,0,0,0.068145321,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007372,1,0,0,0,0,0,0,0.393135353,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007384,0,0,1,0,0,0,0,0.455288445,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000007402,1,0,0,0,0,0,0,0.448961491,2.511260665,0,-0.507675643,0,-0.263226095
ENSG00000007516,0.333333333,0,0.666666667,0,0,0,0,0.757841546,-0.190665698,0,0.387393314,0.666666667,1.350963156
ENSG00000007541,0,0,1,0,0,0,0,0.05696567,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000007908,0,0,1,0,0,0,0,0.015258751,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000007933,1,0,0,0,0,0,0,0.304594318,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007944,1,0,0,0,0,0,0,0.436524845,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000007952,0,0,1,0,0,0,0,0.529807285,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000008083,0.666666667,0,0.333333333,0,0,0,0,0.661693125,-0.190665698,0,0.387393314,0.333333333,1.350963156
ENSG00000008086,0,0,1,0,0,0,0,0.04419733,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008118,0,0,1,0,0,0,0,0.380098559,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008196,0,0,1,0,0,0,0,0.030477253,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008197,0.5,0,0,0,0,0,0,0.001250898,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000008226,0,0,1,0,0,0,0,0.070883385,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000008256,0,0,1,0,0,0,0,0.173838764,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008277,0.5,0,0.5,0,0,0,0,0.451735325,-0.190665698,0,0.387393314,0.5,4.579341658
ENSG00000008294,0.5,0,0.5,0,0,0,0,0.131496931,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000008300,0.2,0,0.8,0,0,0,0,0.619600193,-0.190665698,0,2.177531227,0.8,-0.263226095
ENSG00000008311,0.666666667,0,0.333333333,0,0,0,0,0.315623876,-0.190665698,0,0.387393314,0.333333333,-0.263226095
ENSG00000008323,0,0,0.5,0,0,0,0,0.979852823,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008405,0,1,0,0,0,0,0,0.181906872,-0.190665698,0,0.387393314,0,1.350963156
ENSG00000008441,0,0,1,0,0,0,0,0.059960097,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008513,0,0,1,0,0,0,0,0.007744682,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008517,0,0,1,0,0,0,0,1.047941563,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000008710,0.25,0,0.75,0,0,0,0,0.254790162,-0.190665698,0,1.282462271,0.75,2.965152407
ENSG00000008735,0,0,1,0,0,0,0,0.315735694,2.511260665,0,0.387393314,1,2.965152407
ENSG00000008838,0,0,0,0,0,0,0,0.088744682,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000008853,0.333333333,0,0.666666667,0,0,0,0,0.297558413,-0.190665698,0,1.282462271,0.666666667,-0.263226095
ENSG00000008869,0.285714286,0,0.571428571,0,0,0,0,0.315347263,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000009307,0.75,0,0,0,0.25,0,0,0.17226638,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000009335,0,0,1,0,0,0,0,0.092986408,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000009413,0.285714286,0,0.571428571,0,0,0,0,0.420576817,-0.190665698,0,1.282462271,0.666666667,-0.263226095
ENSG00000009694,0,0,1,0,0,0,0,0.014324424,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000009724,1,0,0,0,0,0,0,0.231142229,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000009765,1,0,0,0,0,0,0,0.765003789,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000009790,1,0,0,0,0,0,0,1.141158282,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000009830,0,0,1,0,0,0,0,0.128451526,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000009844,0,0,1,0,0,0,0,0.065751263,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000009950,0,0,1,0,0,0,0,0.683118748,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010017,0,0,0,0,0,0,0,0.056244495,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000010030,0,0,1,0,0,0,0,0.123254132,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010072,0,0,0.5,0,0,0,0,0.01907795,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010165,0,0,1,0,0,0,0,0.015353126,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010219,0,0,1,0,0,0,0,0.345524969,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010244,0,0,1,0,0,0,0,0.07604047,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010270,0,0,1,0,0,0,0,0.040265732,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010278,1,0,0,0,0,0,0,0.410531335,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000010292,0.333333333,0,0.666666667,0,0,0,0,0.059906557,-0.190665698,0,0.387393314,0.666666667,4.579341658
ENSG00000010295,0,0,1,0,0,0,0,1.017260133,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000010319,0,0,1,0,0,0,0,0.812747535,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010322,0.75,0,0.25,0,0,0,0,0.295938427,-0.190665698,0,0.387393314,0.25,1.350963156
ENSG00000010327,0,0.066666667,0.733333333,0,0.066666667,0,0,1.279135748,-0.190665698,0,3.072600184,1,-0.263226095
ENSG00000010361,0,0,1,0,0,0,0,0.236949441,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000010379,1,0,0,0,0,0,0,0.006800506,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000010610,0.25,0,0.5,0,0.25,0,0,1.535680183,-0.190665698,0,0.387393314,0.666666667,-0.263226095
ENSG00000010671,0.5,0,0.5,0,0,0,0,1.653889628,-0.190665698,0,0.387393314,0.5,2.965152407
ENSG00000010818,0,0,1,0,0,0,0,0.39771122,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000010932,0,1,0,0,0,0,0,0.380346484,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000011007,0,0.5,0,0,0.5,0,0,0.100161183,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000011009,0,0,0,0,0.5,0,0,0.032740162,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000011021,0,0,1,0,0,0,0,0.44150023,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000011028,0.5,0,0.5,0,0,0,0,0.467817571,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000011105,0,0,1,0,0,0,0,0.256943689,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011114,1,0,0,0,0,0,0,0.096897722,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000011143,1,0,0,0,0,0,0,0.082479686,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000011243,0,0,1,0,0,0,0,0.128072813,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011258,0,0,1,0,0,0,0,0.285378884,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011295,1,0,0,0,0,0,0,0.105014786,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000011304,0,0,0.5,0,0,0,0,0.036826357,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011332,0.5,0,0.5,0,0,0,0,0.049963373,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000011347,0,0,1,0,0,0,0,0.594917603,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011376,0,0,1,0,0,0,0,0.023432956,-0.190665698,0,1.282462271,1,-0.263226095
ENSG00000011405,0,0,1,0,0,0,0,0.0633239,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011426,0,0,1,0,0,0,0,1.129464567,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011451,0,0,0.5,0,0,0,0,0.130723254,-0.190665698,0,0.387393314,1,1.350963156
ENSG00000011454,0.333333333,0,0.333333333,0,0,0,0,0.020046211,-0.190665698,0,0.387393314,0.5,-0.263226095
ENSG00000011478,1,0,0,0,0,0,0,0.294230489,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000011523,0.2,0,0.2,0,0.2,0,0,0.439378921,-0.190665698,0,1.282462271,0.5,-0.263226095
ENSG00000011566,0,0,1,0,0,0,0,0.152786479,2.511260665,0,0.387393314,1,-0.263226095
ENSG00000011590,0,1,0,0,0,0,0,0.374910804,-0.190665698,0,0.387393314,0,-0.263226095
ENSG00000011638,0,0,1,0,0,0,0,0.422447359,-0.190665698,0,0.387393314,1,-0.263226095
ENSG00000011677,0,0,0,0,0,0,0,0.05932924,-0.190665698,0,-0.507675643,0,-0.263226095
ENSG00000012048,0,0,1,0,0,0,0,0.214887026,2.511260665,0,1.282462271,1,9.421909412
ENSG00000012061,0.5,0,0.5,0,0,0,0,0.011996637,-0.190665698,0,0.387393314,0.5,2.965152407
