gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000419,0.333333333,0,0.666666667,0,0,0,0,0.009235412,-0.223707831,0,0.990657107,0.666666667,-0.303404999
ENSG00000000457,0,0,1,0,0,0,0,0.024107291,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000000460,0,0,0,0,0,0,0,0.003179447,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000000938,0,0,1,0,0,0,0,0.049854437,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000000971,0.111111111,0,0.666666667,0,0,0.111111111,0,0.736930065,-0.223707831,0,3.347409517,0.857142857,-0.303404999
ENSG00000001036,1,0,0,0,0,0,0,0.363815082,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000001460,0,0,0,0,0,0,0,0.149856672,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000001461,0,0,1,0,0,0,0,0.558778812,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000001617,0,0,1,0,0,0,0,0.332977854,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000001626,0,0,1,0,0,0,0,0.35297951,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000001629,0,0,0.5,0,0.25,0,0,0.115281657,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000001630,0,0,0,0,0,0,0,0.375387574,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000001631,0,0,0,0,0,0,0,0.199481937,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000002587,1,0,0,0,0,0,0,0.067280145,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000002726,1,0,0,0,0,0,0,1.539623573,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000002746,0.625,0,0.25,0,0,0,0,0.313965515,-0.223707831,0,0.990657107,0.285714286,-0.303404999
ENSG00000002822,0.333333333,0,0.666666667,0,0,0,0,0.394254481,1.588566547,0,0.205072971,0.666666667,6.298680054
ENSG00000002834,0.5,0,0.5,0,0,0,0,0.237826306,-0.223707831,0,0.205072971,0.5,0.639750009
ENSG00000003056,0,1,0,0,0,0,0,0.532807377,-0.223707831,0,0.205072971,0,0.639750009
ENSG00000003147,0,0,0,0,0,0,0,0.875739901,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000003249,0,1,0,0,0,0,0,1.123253937,-0.223707831,0,0.205072971,0,-0.303404999
ENSG00000003393,0.333333333,0,0.666666667,0,0,0,0,0.054744148,-0.223707831,0,0.205072971,0.666666667,0.639750009
ENSG00000003400,0,0,1,0,0,0,0,0.155025407,1.588566547,0,0.205072971,1,0.639750009
ENSG00000003402,0,0,0.666666667,0,0,0,0,0.071258898,1.588566547,0,0.990657107,1,3.469215031
ENSG00000003436,0,0,0,0,0,0,0,0.292042314,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000003756,0.25,0.25,0,0,0.25,0,0,0.367966304,-0.223707831,0,0.990657107,0,1.582905016
ENSG00000003987,0.5,0,0.5,0,0,0,0,0.06851863,-0.223707831,0,0.205072971,0.5,0.639750009
ENSG00000003989,0.5,0,0.25,0,0,0,0,0.173044863,-0.223707831,0,0.205072971,0.333333333,-0.303404999
ENSG00000004139,1,0,0,0,0,0,0,0.089371458,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000004142,1,0,0,0,0,0,0,0.236254637,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000004399,0.2,0,0.4,0,0,0,0,0.090893817,-0.223707831,0,0.990657107,0.666666667,0.639750009
ENSG00000004455,0,0,0.5,0,0.5,0,0,0.247698329,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000004468,0,1,0,0,0,0,0,1.543932101,-0.223707831,0,0.205072971,0,-0.303404999
ENSG00000004478,0,0,0.5,0,0,0,0,0.445750392,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000004487,0,0,1,0,0,0,0,0.298201913,-0.223707831,0,0.990657107,1,3.469215031
ENSG00000004534,0.25,0,0.25,0,0,0,0,0.491867089,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000004700,0,0,1,0,0,0,0,0.454079481,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000004766,0.25,0,0.5,0.25,0,0,0,0.02767203,-0.223707831,0,1.776241244,0.666666667,0.639750009
ENSG00000004777,0.5,0,0.5,0,0,0,0,0.363463442,-0.223707831,0,0.990657107,0.5,-0.303404999
ENSG00000004809,0,0,1,0,0,0,0,0.097655672,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000004846,0,0.25,0.75,0,0,0,0,0.004018505,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000004864,0.333333333,0,0.333333333,0,0,0,0,0.205628758,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000004897,0,0.5,0,0.5,0,0,0,0.154434756,1.588566547,0,0.990657107,0,5.355525046
ENSG00000004939,0.666666667,0,0.166666667,0,0,0,0,0.009088384,-0.223707831,0,0.205072971,0.2,2.526060024
ENSG00000004948,0,0.25,0.75,0,0,0,0,0.019679099,-0.223707831,0,2.56182538,1,-0.303404999
ENSG00000004975,0.2,0,0.2,0.2,0.2,0,0,0.153967933,1.588566547,0,0.990657107,0.5,2.526060024
ENSG00000005001,1,0,0,0,0,0,0,0.061617593,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000005007,0.333333333,0,0.666666667,0,0,0,0,0.270062856,-0.223707831,0,0.990657107,0.666666667,3.469215031
ENSG00000005059,0,0,1,0,0,0,0,0.065080177,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000005100,0,0,1,0,0,0,0,0.128105118,-0.223707831,0,1.776241244,1,1.582905016
ENSG00000005108,0,0.4,0.6,0,0,0,0,0.08803072,-0.223707831,0,2.56182538,1,-0.303404999
ENSG00000005156,0,0,1,0,0,0,0,0.476510496,-0.223707831,0,0.205072971,1,0.639750009
