gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0,0,0.2,0,0,0,0,-0.813381025,-0.210281154,0,-0.445661768,1,-0.443771256
ENSG00000000005,TNMD,0.076923077,0,0.307692308,0,0,0,0,-2.311050206,-0.210281154,0,-0.064640553,0.8,-0.443771256
ENSG00000000419,DPM1,0,0,0.297297297,0,0,0,0,0.342674732,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000000457,SCYL3,0.135135135,0.054054054,0.202702703,0.054054054,0,0,0,0.255759864,-0.210281154,0,0.506891269,0.6,-0.443771256
ENSG00000000460,C1orf112,0.107142857,0,0.25,0,0,0,0,0.703252874,-0.210281154,0,-0.064640553,0.7,-0.443771256
ENSG00000000938,FGR,0,0,0.590909091,0,0,0,0,-0.325190019,-0.210281154,0,-0.064640553,1,0.743113669
ENSG00000000971,CFH,0.086206897,0.017241379,0.413793103,0,0,0,0,-1.192665276,-0.210281154,0,2.221486736,0.827586207,0.149671206
ENSG00000001036,FUCA2,0,0,0.073170732,0,0,0,0,0.28153828,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000001084,GCLC,0,0,0.193548387,0,0,0,0,-0.343945523,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000001167,NFYA,0,0,0.333333333,0,0,0,0,0.446623386,-0.210281154,0,-0.445661768,1,0.149671206
ENSG00000001461,NIPAL3,0,0,0.333333333,0,0.25,0,0,-0.326853646,-0.210281154,0,-0.25515116,1,-0.443771256
ENSG00000001497,LAS1L,0.096774194,0,0.64516129,0,0,0,0,0.395930167,-0.210281154,0,0.506891269,0.869565217,0.149671206
ENSG00000001561,ENPP4,0,0,0.833333333,0.166666667,0,0,0,-0.359388133,-0.210281154,0,0.506891269,1,-0.443771256
ENSG00000001617,SEMA3F,0.333333333,0.090909091,0,0,0,0,0,0.89159944,-0.210281154,0,-0.445661768,0,0.743113669
ENSG00000001626,CFTR,0.0625,0.0625,0.53125,0,0,0.046875,0,-0.141839796,-0.210281154,0,2.221486736,0.894736842,0.743113669
ENSG00000001629,ANKIB1,0,0,0.5,0,0,0,0,0.144739631,-0.210281154,0,0.125870055,1,-0.443771256
ENSG00000001630,CYP51A1,0,0,0.4,0,0,0,0,0.265689223,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000001631,KRIT1,0.056179775,0,0.382022472,0.056179775,0.02247191,0,0,-0.141706123,-0.210281154,0,0.506891269,0.871794872,0.149671206
ENSG00000002330,BAD,0,0,0.363636364,0,0,0,0,0.450374455,4.518801816,0,-0.445661768,1,1.336556131
ENSG00000002549,LAP3,0.2,0.08,0.08,0,0,0,0,0.189015603,-0.210281154,0,-0.064640553,0.285714286,-0.443771256
ENSG00000002586,CD99,0,0,0.636363636,0,0,0,0,0.033819138,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000002587,HS3ST1,0,0,0.333333333,0,0,0,0,-0.209293881,-0.210281154,0,-0.445661768,1,-0.443771256
ENSG00000002726,AOC1,0.148148148,0,0.518518519,0,0,0,0,0.349964292,-0.210281154,0,-0.25515116,0.777777778,-0.443771256
ENSG00000002745,WNT16,0.5,0,0.125,0.25,0,0,0,0.015416343,2.154260331,1,-0.25515116,0.2,0.743113669
ENSG00000002746,HECW1,0.194444444,0,0.430555556,0.027777778,0,0,0,-0.03282014,-0.210281154,0,2.221486736,0.688888889,-0.443771256
ENSG00000002822,MAD1L1,0,0,0.421052632,0,0,0,0,0.335100861,2.154260331,0,0.125870055,1,1.929998594
ENSG00000002834,LASP1,0,0,0.194444444,0,0,0,0,0.466038506,-0.210281154,0,-0.25515116,1,-0.443771256
ENSG00000002919,SNX11,0,0,0,0,0,0,0,0.0459698,-0.210281154,0,-0.636172375,0,-0.443771256
ENSG00000002933,TMEM176A,0.117647059,0,0,0,0,0,0,-0.233646166,-0.210281154,0,-0.636172375,0,-0.443771256
ENSG00000003096,KLHL13,0,0,0.545454545,0,0.090909091,0,0,-1.947420951,-0.210281154,0,0.697401877,1,0.743113669
ENSG00000003137,CYP26B1,0.114285714,0.057142857,0.371428571,0.114285714,0,0,0,-1.219229578,-0.210281154,0,0.506891269,0.764705882,-0.443771256
ENSG00000003147,ICA1,0.285714286,0,0.285714286,0.142857143,0,0,0,0.539277963,-0.210281154,0,-0.25515116,0.5,-0.443771256
ENSG00000003249,DBNDD1,0,0,0,0,0,0,0,1.405609444,-0.210281154,0,-0.636172375,0,-0.443771256
ENSG00000003393,ALS2,0.111111111,0,0.155555556,0,0,0,0,-0.114114083,-0.210281154,0,0.316380662,0.583333333,-0.443771256
ENSG00000003400,CASP10,0,0,0,0,0.333333333,0,0,-0.587204632,-0.210281154,0,-0.445661768,0,0.743113669
ENSG00000003402,CFLAR,0.064327485,0.005847953,0,0,0,0,0,-0.839882803,-0.210281154,0,-0.445661768,0,1.336556131
ENSG00000003436,TFPI,0,0,0.394736842,0,0,0,0,-1.503873898,-0.210281154,0,-0.064640553,1,-0.443771256
ENSG00000003509,NDUFAF7,0.2,0,0.285714286,0,0,0,0,-0.014442569,-0.210281154,0,-0.25515116,0.588235294,0.149671206
ENSG00000003756,RBM5,0.00952381,0.00952381,0.028571429,0.00952381,0,0,0,-0.400076574,-0.210281154,0,0.316380662,0.75,0.743113669
ENSG00000003987,MTMR7,0,0,0.151515152,0,0,0,0,0.054947087,-0.210281154,0,-0.25515116,1,0.743113669
ENSG00000004059,ARF5,0,0,0,0,0.038461538,0,0,0.669744279,-0.210281154,0,-0.445661768,0,-0.443771256
ENSG00000004139,SARM1,0,0.023255814,0.058139535,0.034883721,0.034883721,0,0,-0.181499154,-0.210281154,0,0.316380662,1,-0.443771256
ENSG00000004142,POLDIP2,0.133333333,0,0,0,0,0,0,0.351935032,-0.210281154,0,-0.636172375,0,-0.443771256
